objectid,perfume name,perfume house,gender,amount,status,date obtained,category,description,accords,country of origin,origin,notes,top notes,middle notes,base notes,original source (website),identifier (?),type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frag01,Hyouge,Parfum Satori,unisex,50ml,unisex,2025,,"Lattafa Ansaam Silver EDP Spray for Unisex 3.4 Ounce"" is a captivating fragrance that transcends gender boundaries, offering a unique olfactory experience for both men and women. This exquisite Eau de Parfum opens with a refreshing burst of citrus and green notes, creating an invigorating and vibrant top that immediately uplifts the senses. As the fragrance unfolds, a harmonious blend of floral and woody accords emerges, featuring hints of rose, jasmine, and cedarwood, which add depth and sophistication to the composition. The base notes of Ansaam Silver are warm and comforting, with a fusion of amber, musk, and patchouli, providing a sensual and lasting finish that leaves a memorable impression. Versatile enough for everyday wear or special occasions, this fragrance embodies elegance and allure, making it a timeless addition to any fragrance collection. Experience the sophistication and charm of this captivating fragrance, designed to evoke feelings of confidence and sensuality with every spray. ","floral, woody",United Arab Emirates,Canada,,,,,https://www.lattafa-usa.com/products/ansaam-silver?srsltid=AfmBOorHa-Mq1gvxVQssbT4me_UJFrtUafPJnVCGdmFyocI45SUkYYJz,https://www.lattafa-usa.com/products/ansaam-silver?srsltid=AfmBOorHa-Mq1gvxVQssbT4me_UJFrtUafPJnVCGdmFyocI45SUkYYJz,Image;StillImage,image/jpeg,eng,,,image,,,,"photo of an opaque rectangular perfume bottle with a flared silver cap. A cluster of gingko leaves are embossed on the front of the bottle, with ""ansaam"" written in English and Arabic below, followed by ""silver Lattafa pride"" ",
frag02,Poivre Piquant,L'Artisan Parfumeur,,5ml,unisex,2025,,,,,Canada,,,,,,,Image;StillImage,application/pdf,eng,,,,,,,,
frag03,Gris Charnel,BDK,,2ml,unisex,,,,spicy,,Canada,,,,,,,,,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,,,,,
frag04,Gris Charnel Extrait,BDK,,3ml,love,,,,floral,,Canada,,,,,,,Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,,,,,
frag05,Liam Grey ,Lattafa,,100ml,unisex,,,,"green, spicy",USA,Canada,,,,,,,Image;MovingImage,video/mp4,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,,,,,
frag06,Cedre Figalia,Atelier Materi,,3ml,,2025,,,"citrus, aromatic",,Canada,,,,,,,Image;StillImage,image/jpg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,,,,,
frag07,Poets of Berlin,Vilhelm Parfumerie,,3ml,,,,,,,Japan,,,,,,,Text,application/pdf,eng,"metadata-only record, please check publication for rights",,,,,,,
frag08,Lilyphea,Dyptique,,3ml,,,,,,,Japan,,,,,,,,,,,,,,,,,
frag09,Peau,Arquiste,,2ml,,,,,green,,Japan,,,,,,,,,,,,,,,,,
frag10,No-Mind,IDLE,,2ml,,2026,,,green,,Canada,,,,,,,,,,,,,,,,,
frag12,Premiere Figuier,L'Artisan Parfumeur,,2ml,,,,,,,,,,,,,,,,,,,,,,,,
